"run","Assets","Defaulted Assets","tick"
5,3311007.90139085,146613.08736970156,39.0
5,3316983.8494343623,146613.08736970156,40.0
5,3172673.2255388694,146613.08736970156,41.0
5,3179133.9156939904,146613.08736970156,42.0
5,3185594.6058491124,146613.08736970156,43.0
5,3192055.296004234,146613.08736970156,44.0
5,3198515.9861593554,146613.08736970156,45.0
5,3204976.676314478,146613.08736970156,46.0
5,3211437.3664695993,146613.08736970156,47.0
5,3217850.5328146582,146613.08736970156,48.0
5,3186684.2288976,146613.08736970156,49.0
5,3193077.3234269517,146613.08736970156,50.0
5,3199470.4179563043,146613.08736970156,51.0
5,3205671.911151007,146613.08736970156,52.0
5,3211722.6960707824,146613.08736970156,53.0
5,3217773.4809905584,146613.08736970156,54.0
5,3223824.2659103335,146613.08736970156,55.0
5,3229500.223036221,146613.08736970156,56.0
5,3234890.4249883257,146613.08736970156,57.0
5,3240280.626940431,146613.08736970156,58.0
5,3245670.828892536,146613.08736970156,59.0
5,3251061.030844641,146613.08736970156,60.0
5,3256451.232796746,146613.08736970156,61.0
5,3261841.434748851,169495.63920522112,62.0
5,3266303.463408655,169495.63920522112,63.0
5,3270765.4920684593,169495.63920522112,64.0
5,3275227.5207282626,169495.63920522112,65.0
5,3217368.0233456003,169495.63920522112,66.0
5,3222427.3162550274,169495.63920522112,67.0
5,3227486.609164455,169495.63920522112,68.0
5,3232545.9020738825,169495.63920522112,69.0
5,3237605.19498331,169495.63920522112,70.0
5,3242664.487892737,169495.63920522112,71.0
5,3247723.7808021647,169495.63920522112,72.0
5,3252783.0737115922,169495.63920522112,73.0
5,3257842.3666210193,169495.63920522112,74.0
5,3262901.6595304473,169495.63920522112,75.0
5,3244211.839404124,169495.63920522112,76.0
5,3250171.0416581626,192424.00660647958,77.0
5,3255230.3345675897,192424.00660647958,78.0
5,3229025.842414966,192424.00660647958,79.0
5,3234682.3995740167,192424.00660647958,80.0
5,3071118.2613023585,192424.00660647958,81.0
5,3077420.814267615,192424.00660647958,82.0
5,3083723.3672328703,192424.00660647958,83.0
5,3090025.920198126,192424.00660647958,84.0
5,3095910.74022897,192424.00660647958,85.0
5,3101660.129130725,192424.00660647958,86.0
5,2993990.7167480174,192424.00660647958,87.0
5,3000210.4199354253,192424.00660647958,88.0
5,3006430.1231228337,192424.00660647958,89.0
5,3012649.8263102416,192424.00660647958,90.0
5,3018869.52949765,192424.00660647958,91.0
5,3025089.232685058,192424.00660647958,92.0
